Year,Month,Day,Time,Location Country,Location City,Location City Alternate Name,Team Country A,Team Country B,Stadium Name,Raw Game Number,Game Number or Designation,Tournament Phase
2023,7,20,19:00,New Zealand,Auckland,Tamaki Makaurau,New Zealand,Norway,Eden Park,1,1,Group Stage
2023,7,20,20:00,Australia,Sydney,Gadigal,Australia,Ireland,Stadium Australia,2,2,Group Stage
2023,7,21,17:00,New Zealand,Dunedin,Otepoti,Philippines,Switzerland,Dunedin Stadium,3,3,Group Stage
2023,7,21,12:30,Australia,Melbourne,Naarm,Nigeria,Canada,Melbourne Rectangular Stadium,4,4,Group Stage
2023,7,21,19:30,New Zealand,Wellington,Te Whanganui-a-Tara,Spain,Costa Rica,Wellington Regional Stadium,5,5,Group Stage
2023,7,22,13:00,New Zealand,Auckland,Tamaki Makaurau,United States,Vietnam,Eden Park,9,9,Group Stage
2023,7,22,19:00,New Zealand,Hamilton,Kirikiriroa,Zambia,Japan,Waikato Stadium,6,6,Group Stage
2023,7,22,19:30,Australia,Brisbane,Meaanjin,England,Haiti,Brisbane Stadium,7,7,Group Stage
2023,7,22,20:00,Australia,Perth,Boorloo,Denmark,China,Perth Rectangular Stadium,8,8,Group Stage
2023,7,23,20:00,Australia,Sydney,Gadigal,France,Jamaica,Sydney Football Stadium,11,11,Group Stage
2023,7,23,19:30,New Zealand,Dunedin,Otepoti,Netherlands,Portugal,Dunedin Stadium,10,10,Group Stage
2023,7,23,17:00,New Zealand,Wellington,Te Whanganui-a-Tara,Sweden,South Africa,Wellington Regional Stadium,12,12,Group Stage
2023,7,24,18:00,New Zealand,Auckland,Tamaki Makaurau,Italy,Argentina,Eden Park,14,14,Group Stage
2023,7,24,18:30,Australia,Melbourne,Naarm,Germany,Morocco,Melbourne Rectangular Stadium,15,15,Group Stage
2023,7,24,20:30,Australia,Adelaide,Tarntanya,Brazil,Panama,Hindmarsh Stadium,13,13,Group Stage
2023,7,25,12:00,Australia,Sydney,Gadigal,Colombia,Korea,Sydney Football Stadium,16,16,Group Stage
2023,7,25,17:30,New Zealand,Wellington,Te Whanganui-a-Tara,New Zealand,Philippines,Wellington Regional Stadium,17,17,Group Stage
2023,7,25,20:00,New Zealand,Hamilton,Kirikiriroa,Switzerland,Norway,Waikato Stadium,18,18,Group Stage
2023,7,26,17:00,New Zealand,Dunedin,Otepoti,Japan,Costa Rica,Dunedin Stadium,21,21,Group Stage
2023,7,26,19:30,New Zealand,Auckland,Tamaki Makaurau,Spain,Zambia,Eden Park,20,20,Group Stage
2023,7,26,20:00,Australia,Perth,Boorloo,Canada,Ireland,Perth Rectangular Stadium,19,19,Group Stage
2023,7,27,13:00,New Zealand,Wellington,Te Whanganui-a-Tara,United States,Netherlands,Wellington Regional Stadium,23,23,Group Stage
2023,7,27,19:30,New Zealand,Hamilton,Kirikiriroa,Portugal,Vietnam,Waikato Stadium,24,24,Group Stage
2023,7,27,20:00,Australia,Brisbane,Meaanjin,Australia,Nigeria,Brisbane Stadium,22,22,Group Stage
2023,7,28,12:00,New Zealand,Dunedin,Otepoti,Argentina,South Africa,Dunedin Stadium,27,27,Group Stage
2023,7,28,18:30,Australia,Sydney,Gadigal,England,Denmark,Sydney Football Stadium,25,25,Group Stage
2023,7,28,20:30,Australia,Adelaide,Tarntanya,China,Haiti,Hindmarsh Stadium,26,26,Group Stage
2023,7,29,19:30,New Zealand,Wellington,Te Whanganui-a-Tara,Sweden,Italy,Wellington Regional Stadium,30,30,Group Stage
2023,7,29,20:00,Australia,Brisbane,Meaanjin,France,Brazil,Brisbane Stadium,28,28,Group Stage
